Pivot Type,Pivot Value (a),Date (a),Pivot Value (b),Date (b),Pivot Value (c),Date (c),OP,XOP,COP
Low,26488.0,08-06-2023 21:00,26626.0,09-06-2023 03:00,26445.8,09-06-2023 04:00,26583.8,26531.08,26669.08
High,26626.0,09-06-2023 03:00,26445.8,09-06-2023 04:00,26490.0,09-06-2023 05:00,26309.8,26378.64,26198.44
Low,26445.8,09-06-2023 04:00,26490.0,09-06-2023 05:00,26479.0,09-06-2023 09:00,26523.2,26506.32,26550.52
High,26490.0,09-06-2023 05:00,26479.0,09-06-2023 09:00,26482.1,09-06-2023 10:00,26471.1,26475.3,26464.3
Low,26479.0,09-06-2023 09:00,26482.1,09-06-2023 10:00,26482.7,09-06-2023 12:00,26485.8,26484.62,26487.72
High,26482.1,09-06-2023 10:00,26482.7,09-06-2023 12:00,26626.5,09-06-2023 14:00,26627.1,26626.87,26627.47
Low,26482.7,09-06-2023 12:00,26626.5,09-06-2023 14:00,26599.8,09-06-2023 16:00,26743.6,26688.67,26832.47
High,26626.5,09-06-2023 14:00,26599.8,09-06-2023 16:00,26619.0,09-06-2023 22:00,26592.3,26602.5,26575.8
Low,26599.8,09-06-2023 16:00,26619.0,09-06-2023 22:00,26400.0,10-06-2023 00:00,26419.2,26411.87,26431.07
High,26619.0,09-06-2023 22:00,26400.0,10-06-2023 00:00,26383.4,10-06-2023 08:00,26164.4,26248.06,26029.06
Low,26400.0,10-06-2023 00:00,26383.4,10-06-2023 08:00,25504.6,10-06-2023 11:00,25488.0,25494.34,25477.74
High,26383.4,10-06-2023 08:00,25504.6,10-06-2023 11:00,25660.2,10-06-2023 13:00,24781.4,25117.1,24238.3
Low,25504.6,10-06-2023 11:00,25660.2,10-06-2023 13:00,25686.8,10-06-2023 14:00,25842.4,25782.96,25938.56
High,25660.2,10-06-2023 13:00,25686.8,10-06-2023 14:00,25718.7,10-06-2023 16:00,25745.3,25735.14,25761.74
Low,25686.8,10-06-2023 14:00,25718.7,10-06-2023 16:00,25644.9,10-06-2023 17:00,25676.8,25664.61,25696.51
High,25718.7,10-06-2023 16:00,25644.9,10-06-2023 17:00,26010.0,10-06-2023 21:00,25936.2,25964.39,25890.59
Low,25644.9,10-06-2023 17:00,26010.0,10-06-2023 21:00,25529.2,10-06-2023 23:00,25894.3,25754.83,26119.93
High,26010.0,10-06-2023 21:00,25529.2,10-06-2023 23:00,25814.5,11-06-2023 07:00,25333.7,25517.37,25036.57
Low,25529.2,10-06-2023 23:00,25814.5,11-06-2023 07:00,25718.4,11-06-2023 08:00,26003.7,25894.72,26180.02
High,25814.5,11-06-2023 07:00,25718.4,11-06-2023 08:00,25805.8,11-06-2023 11:00,25709.7,25746.41,25650.31
Low,25718.4,11-06-2023 08:00,25805.8,11-06-2023 11:00,25727.4,11-06-2023 14:00,25814.8,25781.41,25868.81
High,25805.8,11-06-2023 11:00,25727.4,11-06-2023 14:00,25784.9,11-06-2023 16:00,25706.5,25736.45,25658.05
Low,25727.4,11-06-2023 14:00,25784.9,11-06-2023 16:00,25693.2,11-06-2023 17:00,25750.7,25728.74,25786.24
High,25784.9,11-06-2023 16:00,25693.2,11-06-2023 17:00,26110.8,12-06-2023 01:00,26019.1,26054.13,25962.43
Low,25693.2,11-06-2023 17:00,26110.8,12-06-2023 01:00,25883.8,12-06-2023 03:00,26301.4,26141.88,26559.48
High,26110.8,12-06-2023 01:00,25883.8,12-06-2023 03:00,25955.3,12-06-2023 05:00,25728.3,25815.01,25588.01
Low,25883.8,12-06-2023 03:00,25955.3,12-06-2023 05:00,25804.7,12-06-2023 09:00,25876.2,25848.89,25920.39
High,25955.3,12-06-2023 05:00,25804.7,12-06-2023 09:00,25952.0,12-06-2023 17:00,25801.4,25858.93,25708.33
Low,25804.7,12-06-2023 09:00,25952.0,12-06-2023 17:00,25837.4,12-06-2023 20:00,25984.7,25928.43,26075.73
High,25952.0,12-06-2023 17:00,25837.4,12-06-2023 20:00,25921.4,13-06-2023 04:00,25806.8,25850.58,25735.98
Low,25837.4,12-06-2023 20:00,25921.4,13-06-2023 04:00,25955.7,13-06-2023 05:00,26039.7,26007.61,26091.61
High,25921.4,13-06-2023 04:00,25955.7,13-06-2023 05:00,26115.4,13-06-2023 07:00,26149.7,26136.6,26170.9
Low,25955.7,13-06-2023 05:00,26115.4,13-06-2023 07:00,26042.9,13-06-2023 09:00,26202.6,26141.59,26301.29
High,26115.4,13-06-2023 07:00,26042.9,13-06-2023 09:00,26070.6,13-06-2023 18:00,25998.1,26025.8,25953.3
Low,26042.9,13-06-2023 09:00,26070.6,13-06-2023 18:00,25750.9,13-06-2023 21:00,25778.6,25768.02,25795.72
High,26070.6,13-06-2023 18:00,25750.9,13-06-2023 21:00,25835.9,14-06-2023 01:00,25516.2,25638.33,25318.63
Low,25750.9,13-06-2023 21:00,25835.9,14-06-2023 01:00,25829.0,14-06-2023 05:00,25914.0,25881.53,25966.53
High,25835.9,14-06-2023 01:00,25829.0,14-06-2023 05:00,26015.0,14-06-2023 08:00,26008.1,26010.74,26003.84
Low,25829.0,14-06-2023 05:00,26015.0,14-06-2023 08:00,25833.2,14-06-2023 12:00,26019.2,25948.15,26134.15
High,26015.0,14-06-2023 08:00,25833.2,14-06-2023 12:00,26006.8,14-06-2023 16:00,25825.0,25894.45,25712.65
Low,25833.2,14-06-2023 12:00,26006.8,14-06-2023 16:00,25981.5,14-06-2023 17:00,26155.1,26088.78,26262.38
High,26006.8,14-06-2023 16:00,25981.5,14-06-2023 17:00,25990.2,14-06-2023 18:00,25964.9,25974.56,25949.26
Low,25981.5,14-06-2023 17:00,25990.2,14-06-2023 18:00,25976.4,14-06-2023 21:00,25985.1,25981.78,25990.48
High,25990.2,14-06-2023 18:00,25976.4,14-06-2023 21:00,25905.1,14-06-2023 23:00,25891.3,25896.57,25882.77
Low,25976.4,14-06-2023 21:00,25905.1,14-06-2023 23:00,24920.1,15-06-2023 03:00,24848.8,24876.04,24804.74
High,25905.1,14-06-2023 23:00,24920.1,15-06-2023 03:00,25193.5,15-06-2023 04:00,24208.5,24584.77,23599.77
Low,24920.1,15-06-2023 03:00,25193.5,15-06-2023 04:00,25053.7,15-06-2023 09:00,25327.1,25222.66,25496.06
High,25193.5,15-06-2023 04:00,25053.7,15-06-2023 09:00,24917.5,15-06-2023 10:00,24777.7,24831.1,24691.3
Low,25053.7,15-06-2023 09:00,24917.5,15-06-2023 10:00,24974.6,15-06-2023 11:00,24838.4,24890.43,24754.23
High,24917.5,15-06-2023 10:00,24974.6,15-06-2023 11:00,25045.0,15-06-2023 19:00,25102.1,25080.29,25137.39
Low,24974.6,15-06-2023 11:00,25045.0,15-06-2023 19:00,25556.7,16-06-2023 00:00,25627.1,25600.21,25670.61
High,25045.0,15-06-2023 19:00,25556.7,16-06-2023 00:00,25558.0,16-06-2023 03:00,26069.7,25874.23,26385.93
Low,25556.7,16-06-2023 00:00,25558.0,16-06-2023 03:00,25482.7,16-06-2023 07:00,25484.0,25483.5,25484.8
High,25558.0,16-06-2023 03:00,25482.7,16-06-2023 07:00,25515.0,16-06-2023 08:00,25439.7,25468.46,25393.16
Low,25482.7,16-06-2023 07:00,25515.0,16-06-2023 08:00,25541.2,16-06-2023 09:00,25573.5,25561.16,25593.46
High,25515.0,16-06-2023 08:00,25541.2,16-06-2023 09:00,25564.4,16-06-2023 10:00,25590.6,25580.59,25606.79
Low,25541.2,16-06-2023 09:00,25564.4,16-06-2023 10:00,25602.2,16-06-2023 21:00,25625.4,25616.54,25639.74
High,25564.4,16-06-2023 10:00,25602.2,16-06-2023 21:00,26397.9,17-06-2023 00:00,26435.7,26421.26,26459.06
Low,25602.2,16-06-2023 21:00,26397.9,17-06-2023 00:00,26348.0,17-06-2023 08:00,27143.7,26839.74,27635.44
High,26397.9,17-06-2023 00:00,26348.0,17-06-2023 08:00,26679.4,17-06-2023 10:00,26629.5,26648.56,26598.66
Low,26348.0,17-06-2023 08:00,26679.4,17-06-2023 10:00,26582.0,17-06-2023 13:00,26913.4,26786.81,27118.21
High,26679.4,17-06-2023 10:00,26582.0,17-06-2023 13:00,26579.4,17-06-2023 15:00,26482.0,26519.21,26421.81
Low,26582.0,17-06-2023 13:00,26579.4,17-06-2023 15:00,26399.9,17-06-2023 21:00,26397.3,26398.29,26395.69
High,26579.4,17-06-2023 15:00,26399.9,17-06-2023 21:00,26555.5,18-06-2023 03:00,26376.0,26444.57,26265.07
Low,26399.9,17-06-2023 21:00,26555.5,18-06-2023 03:00,26444.5,18-06-2023 08:00,26600.1,26540.66,26696.26
High,26555.5,18-06-2023 03:00,26444.5,18-06-2023 08:00,26524.3,18-06-2023 09:00,26413.3,26455.7,26344.7
Low,26444.5,18-06-2023 08:00,26524.3,18-06-2023 09:00,26531.8,18-06-2023 10:00,26611.6,26581.12,26660.92
High,26524.3,18-06-2023 09:00,26531.8,18-06-2023 10:00,26572.0,18-06-2023 12:00,26579.5,26576.64,26584.14
Low,26531.8,18-06-2023 10:00,26572.0,18-06-2023 12:00,26515.6,18-06-2023 15:00,26555.8,26540.44,26580.64
High,26572.0,18-06-2023 12:00,26515.6,18-06-2023 15:00,26541.4,18-06-2023 19:00,26485.0,26506.54,26450.14
Low,26515.6,18-06-2023 15:00,26541.4,18-06-2023 19:00,26609.9,18-06-2023 20:00,26635.7,26625.84,26651.64
High,26541.4,18-06-2023 19:00,26609.9,18-06-2023 20:00,26436.0,19-06-2023 07:00,26504.5,26478.33,26546.83
Low,26609.9,18-06-2023 20:00,26436.0,19-06-2023 07:00,26418.1,19-06-2023 09:00,26244.2,26310.63,26136.73
High,26436.0,19-06-2023 07:00,26418.1,19-06-2023 09:00,26418.1,19-06-2023 10:00,26400.2,26407.04,26389.14
Low,26418.1,19-06-2023 09:00,26418.1,19-06-2023 10:00,26415.3,19-06-2023 11:00,26415.3,26415.3,26415.3
High,26418.1,19-06-2023 10:00,26415.3,19-06-2023 11:00,26406.1,19-06-2023 12:00,26403.3,26404.37,26401.57
Low,26415.3,19-06-2023 11:00,26406.1,19-06-2023 12:00,26489.7,19-06-2023 21:00,26480.5,26484.01,26474.81
High,26406.1,19-06-2023 12:00,26489.7,19-06-2023 21:00,26483.8,19-06-2023 22:00,26567.4,26535.46,26619.06
Low,26489.7,19-06-2023 21:00,26483.8,19-06-2023 22:00,26672.8,19-06-2023 23:00,26666.9,26669.15,26663.25
High,26483.8,19-06-2023 22:00,26672.8,19-06-2023 23:00,26711.5,20-06-2023 00:00,26900.5,26828.3,27017.3
Low,26672.8,19-06-2023 23:00,26711.5,20-06-2023 00:00,26828.5,20-06-2023 04:00,26867.2,26852.42,26891.12
High,26711.5,20-06-2023 00:00,26828.5,20-06-2023 04:00,26892.7,20-06-2023 05:00,27009.7,26965.01,27082.01
Low,26828.5,20-06-2023 04:00,26892.7,20-06-2023 05:00,26899.9,20-06-2023 06:00,26964.1,26939.58,27003.78
High,26892.7,20-06-2023 05:00,26899.9,20-06-2023 06:00,26805.5,20-06-2023 09:00,26812.7,26809.95,26817.15
Low,26899.9,20-06-2023 06:00,26805.5,20-06-2023 09:00,26766.1,20-06-2023 15:00,26671.7,26707.76,26613.36
High,26805.5,20-06-2023 09:00,26766.1,20-06-2023 15:00,26839.8,20-06-2023 17:00,26800.4,26815.45,26776.05
Low,26766.1,20-06-2023 15:00,26839.8,20-06-2023 17:00,26763.8,20-06-2023 21:00,26837.5,26809.35,26883.05
High,26839.8,20-06-2023 17:00,26763.8,20-06-2023 21:00,28776.5,21-06-2023 06:00,28700.5,28729.53,28653.53
Low,26763.8,20-06-2023 21:00,28776.5,21-06-2023 06:00,28704.6,21-06-2023 09:00,30717.3,29948.45,31961.15
High,28776.5,21-06-2023 06:00,28704.6,21-06-2023 09:00,28846.9,21-06-2023 11:00,28775.0,28802.47,28730.57
Low,28704.6,21-06-2023 09:00,28846.9,21-06-2023 11:00,28814.1,21-06-2023 13:00,28956.4,28902.04,29044.34
High,28846.9,21-06-2023 11:00,28814.1,21-06-2023 13:00,28821.8,21-06-2023 14:00,28789.0,28801.53,28768.73
Low,28814.1,21-06-2023 13:00,28821.8,21-06-2023 14:00,29296.7,21-06-2023 19:00,29304.4,29301.46,29309.16
High,28821.8,21-06-2023 14:00,29296.7,21-06-2023 19:00,30163.1,22-06-2023 00:00,30638.0,30456.59,30931.49
Low,29296.7,21-06-2023 19:00,30163.1,22-06-2023 00:00,29876.3,22-06-2023 03:00,30742.7,30411.74,31278.14
High,30163.1,22-06-2023 00:00,29876.3,22-06-2023 03:00,30455.1,22-06-2023 07:00,30168.3,30277.86,29991.06
Low,29876.3,22-06-2023 03:00,30455.1,22-06-2023 07:00,30094.5,22-06-2023 13:00,30673.3,30452.2,31031.0
High,30455.1,22-06-2023 07:00,30094.5,22-06-2023 13:00,30167.3,22-06-2023 14:00,29806.7,29944.45,29583.85
Low,30094.5,22-06-2023 13:00,30167.3,22-06-2023 14:00,29919.3,22-06-2023 16:00,29992.1,29964.29,30037.09
High,30167.3,22-06-2023 14:00,29919.3,22-06-2023 16:00,30226.8,22-06-2023 17:00,29978.8,30073.54,29825.54
Low,29919.3,22-06-2023 16:00,30226.8,22-06-2023 17:00,29735.4,22-06-2023 20:00,30042.9,29925.44,30232.94
High,30226.8,22-06-2023 17:00,29735.4,22-06-2023 20:00,30143.1,23-06-2023 01:00,29651.7,29839.41,29348.01
Low,29735.4,22-06-2023 20:00,30143.1,23-06-2023 01:00,29917.6,23-06-2023 03:00,30325.3,30169.56,30577.26
High,30143.1,23-06-2023 01:00,29917.6,23-06-2023 03:00,30000.5,23-06-2023 05:00,29775.0,29861.14,29635.64
Low,29917.6,23-06-2023 03:00,30000.5,23-06-2023 05:00,29980.5,23-06-2023 07:00,30063.4,30031.73,30114.63
High,30000.5,23-06-2023 05:00,29980.5,23-06-2023 07:00,29994.0,23-06-2023 11:00,29974.0,29981.64,29961.64
Low,29980.5,23-06-2023 07:00,29994.0,23-06-2023 11:00,29992.0,23-06-2023 13:00,30005.5,30000.34,30013.84
High,29994.0,23-06-2023 11:00,29992.0,23-06-2023 13:00,30090.3,23-06-2023 16:00,30088.3,30089.06,30087.06
Low,29992.0,23-06-2023 13:00,30090.3,23-06-2023 16:00,30063.3,23-06-2023 18:00,30161.6,30124.05,30222.35
High,30090.3,23-06-2023 16:00,30063.3,23-06-2023 18:00,31232.9,23-06-2023 22:00,31205.9,31216.21,31189.21
Low,30063.3,23-06-2023 18:00,31232.9,23-06-2023 22:00,30631.9,24-06-2023 03:00,31801.5,31354.71,32524.31
High,31232.9,23-06-2023 22:00,30631.9,24-06-2023 03:00,30481.6,24-06-2023 04:00,29880.6,30110.18,29509.18
Low,30631.9,24-06-2023 03:00,30481.6,24-06-2023 04:00,30596.6,24-06-2023 05:00,30446.3,30503.71,30353.41
High,30481.6,24-06-2023 04:00,30596.6,24-06-2023 05:00,30743.0,24-06-2023 07:00,30858.0,30814.07,30929.07
Low,30596.6,24-06-2023 05:00,30743.0,24-06-2023 07:00,30693.7,24-06-2023 08:00,30840.1,30784.18,30930.58
High,30743.0,24-06-2023 07:00,30693.7,24-06-2023 08:00,30717.3,24-06-2023 11:00,30668.0,30686.83,30637.53
Low,30693.7,24-06-2023 08:00,30717.3,24-06-2023 11:00,30600.0,24-06-2023 13:00,30623.6,30614.58,30638.18
High,30717.3,24-06-2023 11:00,30600.0,24-06-2023 13:00,30685.0,24-06-2023 16:00,30567.7,30612.51,30495.21
Low,30600.0,24-06-2023 13:00,30685.0,24-06-2023 16:00,30504.0,24-06-2023 21:00,30589.0,30556.53,30641.53
High,30685.0,24-06-2023 16:00,30504.0,24-06-2023 21:00,30633.8,25-06-2023 00:00,30452.8,30521.94,30340.94
Low,30504.0,24-06-2023 21:00,30633.8,25-06-2023 00:00,30591.1,25-06-2023 07:00,30720.9,30671.32,30801.12
High,30633.8,25-06-2023 00:00,30591.1,25-06-2023 07:00,30863.7,25-06-2023 10:00,30821.0,30837.31,30794.61
Low,30591.1,25-06-2023 07:00,30863.7,25-06-2023 10:00,30609.4,25-06-2023 15:00,30882.0,30777.87,31050.47
High,30863.7,25-06-2023 10:00,30609.4,25-06-2023 15:00,30664.0,25-06-2023 16:00,30409.7,30506.84,30252.54
Low,30609.4,25-06-2023 15:00,30664.0,25-06-2023 16:00,30669.2,25-06-2023 17:00,30723.8,30702.94,30757.54
High,30664.0,25-06-2023 16:00,30669.2,25-06-2023 17:00,30540.3,25-06-2023 18:00,30545.5,30543.51,30548.71
Low,30669.2,25-06-2023 17:00,30540.3,25-06-2023 18:00,30574.1,25-06-2023 19:00,30445.2,30494.44,30365.54
High,30540.3,25-06-2023 18:00,30574.1,25-06-2023 19:00,30378.9,26-06-2023 04:00,30412.7,30399.79,30433.59
Low,30574.1,25-06-2023 19:00,30378.9,26-06-2023 04:00,30166.0,26-06-2023 06:00,29970.8,30045.37,29850.17
High,30378.9,26-06-2023 04:00,30166.0,26-06-2023 06:00,30285.0,26-06-2023 08:00,30072.1,30153.43,29940.53
Low,30166.0,26-06-2023 06:00,30285.0,26-06-2023 08:00,30208.1,26-06-2023 10:00,30327.1,30281.64,30400.64
High,30285.0,26-06-2023 08:00,30208.1,26-06-2023 10:00,30395.6,26-06-2023 13:00,30318.7,30348.08,30271.18
Low,30208.1,26-06-2023 10:00,30395.6,26-06-2023 13:00,30347.6,26-06-2023 17:00,30535.1,30463.48,30650.98
High,30395.6,26-06-2023 13:00,30347.6,26-06-2023 17:00,30384.0,26-06-2023 20:00,30336.0,30354.34,30306.34
Low,30347.6,26-06-2023 17:00,30384.0,26-06-2023 20:00,30068.5,26-06-2023 22:00,30104.9,30091.0,30127.4
High,30384.0,26-06-2023 20:00,30068.5,26-06-2023 22:00,30233.9,27-06-2023 01:00,29918.4,30038.92,29723.42
Low,30068.5,26-06-2023 22:00,30233.9,27-06-2023 01:00,30220.9,27-06-2023 05:00,30386.3,30323.12,30488.52
High,30233.9,27-06-2023 01:00,30220.9,27-06-2023 05:00,30473.3,27-06-2023 09:00,30460.3,30465.27,30452.27
Low,30220.9,27-06-2023 05:00,30473.3,27-06-2023 09:00,30309.1,27-06-2023 10:00,30561.5,30465.08,30717.48
High,30473.3,27-06-2023 09:00,30309.1,27-06-2023 10:00,30404.5,27-06-2023 12:00,30240.3,30303.02,30138.82
Low,30309.1,27-06-2023 10:00,30404.5,27-06-2023 12:00,30370.5,27-06-2023 14:00,30465.9,30429.46,30524.86
High,30404.5,27-06-2023 12:00,30370.5,27-06-2023 14:00,30720.1,27-06-2023 16:00,30686.1,30699.09,30665.09
Low,30370.5,27-06-2023 14:00,30720.1,27-06-2023 16:00,30600.0,27-06-2023 17:00,30949.6,30816.05,31165.65
High,30720.1,27-06-2023 16:00,30600.0,27-06-2023 17:00,30795.5,27-06-2023 18:00,30675.4,30721.28,30601.18
Low,30600.0,27-06-2023 17:00,30795.5,27-06-2023 18:00,30487.4,27-06-2023 20:00,30682.9,30608.22,30803.72
High,30795.5,27-06-2023 18:00,30487.4,27-06-2023 20:00,30719.1,27-06-2023 23:00,30411.0,30528.69,30220.59
Low,30487.4,27-06-2023 20:00,30719.1,27-06-2023 23:00,30636.5,28-06-2023 00:00,30868.2,30779.69,31011.39
High,30719.1,27-06-2023 23:00,30636.5,28-06-2023 00:00,30716.7,28-06-2023 03:00,30634.1,30665.65,30583.05
Low,30636.5,28-06-2023 00:00,30716.7,28-06-2023 03:00,30404.2,28-06-2023 07:00,30484.4,30453.76,30533.96
High,30716.7,28-06-2023 03:00,30404.2,28-06-2023 07:00,30466.6,28-06-2023 11:00,30154.1,30273.48,29960.98
Low,30404.2,28-06-2023 07:00,30466.6,28-06-2023 11:00,30264.2,28-06-2023 14:00,30326.6,30302.76,30365.16
High,30466.6,28-06-2023 11:00,30264.2,28-06-2023 14:00,30294.3,28-06-2023 16:00,30091.9,30169.22,29966.82
Low,30264.2,28-06-2023 14:00,30294.3,28-06-2023 16:00,30193.4,28-06-2023 17:00,30223.5,30212.0,30242.1
High,30294.3,28-06-2023 16:00,30193.4,28-06-2023 17:00,30242.4,28-06-2023 20:00,30141.5,30180.04,30079.14
Low,30193.4,28-06-2023 17:00,30242.4,28-06-2023 20:00,30080.4,29-06-2023 00:00,30129.4,30110.68,30159.68
High,30242.4,28-06-2023 20:00,30080.4,29-06-2023 00:00,30121.9,29-06-2023 03:00,29959.9,30021.78,29859.78
Low,30080.4,29-06-2023 00:00,30121.9,29-06-2023 03:00,30070.3,29-06-2023 04:00,30111.8,30095.95,30137.45
High,30121.9,29-06-2023 03:00,30070.3,29-06-2023 04:00,30154.5,29-06-2023 06:00,30102.9,30122.61,30071.01
Low,30070.3,29-06-2023 04:00,30154.5,29-06-2023 06:00,30162.3,29-06-2023 08:00,30246.5,30214.34,30298.54
High,30154.5,29-06-2023 06:00,30162.3,29-06-2023 08:00,30171.4,29-06-2023 09:00,30179.2,30176.22,30184.02
Low,30162.3,29-06-2023 08:00,30171.4,29-06-2023 09:00,30221.6,29-06-2023 13:00,30230.7,30227.22,30236.32
High,30171.4,29-06-2023 09:00,30221.6,29-06-2023 13:00,30553.0,29-06-2023 17:00,30603.2,30584.02,30634.22
Low,30221.6,29-06-2023 13:00,30553.0,29-06-2023 17:00,30434.5,29-06-2023 20:00,30765.9,30639.31,30970.71
High,30553.0,29-06-2023 17:00,30434.5,29-06-2023 20:00,30439.9,30-06-2023 04:00,30321.4,30366.67,30248.17
Low,30434.5,29-06-2023 20:00,30439.9,30-06-2023 04:00,30374.5,30-06-2023 07:00,30379.9,30377.84,30383.24
High,30439.9,30-06-2023 04:00,30374.5,30-06-2023 07:00,30868.4,30-06-2023 09:00,30803.0,30827.98,30762.58
Low,30374.5,30-06-2023 07:00,30868.4,30-06-2023 09:00,30663.1,30-06-2023 11:00,31157.0,30968.33,31462.23
High,30868.4,30-06-2023 09:00,30663.1,30-06-2023 11:00,31000.2,30-06-2023 16:00,30794.9,30873.32,30668.02
Low,30663.1,30-06-2023 11:00,31000.2,30-06-2023 16:00,30381.5,30-06-2023 20:00,30718.6,30589.83,30926.93
High,31000.2,30-06-2023 16:00,30381.5,30-06-2023 20:00,30442.7,30-06-2023 21:00,29824.0,30060.34,29441.64
Low,30381.5,30-06-2023 20:00,30442.7,30-06-2023 21:00,30349.7,30-06-2023 23:00,30410.9,30387.52,30448.72
High,30442.7,30-06-2023 21:00,30349.7,30-06-2023 23:00,30391.3,01-07-2023 00:00,30298.3,30333.83,30240.83
Low,30349.7,30-06-2023 23:00,30391.3,01-07-2023 00:00,30472.7,01-07-2023 02:00,30514.3,30498.41,30540.01
High,30391.3,01-07-2023 00:00,30472.7,01-07-2023 02:00,30460.2,01-07-2023 04:00,30541.6,30510.51,30591.91
Low,30472.7,01-07-2023 02:00,30460.2,01-07-2023 04:00,30433.4,01-07-2023 05:00,30420.9,30425.68,30413.18
High,30460.2,01-07-2023 04:00,30433.4,01-07-2023 05:00,30408.4,01-07-2023 07:00,30381.6,30391.84,30365.04
Low,30433.4,01-07-2023 05:00,30408.4,01-07-2023 07:00,30381.4,01-07-2023 09:00,30356.4,30365.95,30340.95
High,30408.4,01-07-2023 07:00,30381.4,01-07-2023 09:00,30429.8,01-07-2023 13:00,30402.8,30413.11,30386.11
Low,30381.4,01-07-2023 09:00,30429.8,01-07-2023 13:00,30455.8,01-07-2023 16:00,30504.2,30485.71,30534.11
High,30429.8,01-07-2023 13:00,30455.8,01-07-2023 16:00,30550.0,01-07-2023 17:00,30576.0,30566.07,30592.07
Low,30455.8,01-07-2023 16:00,30550.0,01-07-2023 17:00,30598.8,01-07-2023 18:00,30693.0,30657.02,30751.22
High,30550.0,01-07-2023 17:00,30598.8,01-07-2023 18:00,30473.1,02-07-2023 09:00,30521.9,30503.26,30552.06
Low,30598.8,01-07-2023 18:00,30473.1,02-07-2023 09:00,30475.8,02-07-2023 11:00,30350.1,30398.12,30272.42
High,30473.1,02-07-2023 09:00,30475.8,02-07-2023 11:00,30477.2,02-07-2023 12:00,30479.9,30478.87,30481.57
Low,30475.8,02-07-2023 11:00,30477.2,02-07-2023 12:00,30513.4,02-07-2023 15:00,30514.8,30514.27,30515.67
High,30477.2,02-07-2023 12:00,30513.4,02-07-2023 15:00,30586.5,02-07-2023 18:00,30622.7,30608.87,30645.07
Low,30513.4,02-07-2023 15:00,30586.5,02-07-2023 18:00,30491.4,02-07-2023 19:00,30564.5,30536.58,30609.68
High,30586.5,02-07-2023 18:00,30491.4,02-07-2023 19:00,30558.4,02-07-2023 21:00,30463.3,30499.63,30404.53
Low,30491.4,02-07-2023 19:00,30558.4,02-07-2023 21:00,30520.0,02-07-2023 23:00,30587.0,30561.41,30628.41
High,30558.4,02-07-2023 21:00,30520.0,02-07-2023 23:00,30747.9,03-07-2023 09:00,30709.5,30724.17,30685.77
Low,30520.0,02-07-2023 23:00,30747.9,03-07-2023 09:00,30642.2,03-07-2023 10:00,30870.1,30783.04,31010.94
High,30747.9,03-07-2023 09:00,30642.2,03-07-2023 10:00,30662.8,03-07-2023 13:00,30557.1,30597.48,30491.78
Low,30642.2,03-07-2023 10:00,30662.8,03-07-2023 13:00,30637.4,03-07-2023 14:00,30658.0,30650.13,30670.73
High,30662.8,03-07-2023 13:00,30637.4,03-07-2023 14:00,30619.6,03-07-2023 15:00,30594.2,30603.9,30578.5
Low,30637.4,03-07-2023 14:00,30619.6,03-07-2023 15:00,30648.0,03-07-2023 18:00,30630.2,30637.0,30619.2
High,30619.6,03-07-2023 15:00,30648.0,03-07-2023 18:00,31254.1,04-07-2023 00:00,31282.5,31271.65,31300.05
Low,30648.0,03-07-2023 18:00,31254.1,04-07-2023 00:00,31044.1,04-07-2023 04:00,31650.2,31418.67,32024.77
High,31254.1,04-07-2023 00:00,31044.1,04-07-2023 04:00,31277.1,04-07-2023 09:00,31067.1,31147.32,30937.32
Low,31044.1,04-07-2023 04:00,31277.1,04-07-2023 09:00,31003.7,04-07-2023 15:00,31236.7,31147.69,31380.69
High,31277.1,04-07-2023 09:00,31003.7,04-07-2023 15:00,30946.8,04-07-2023 22:00,30673.4,30777.84,30504.44
Low,31003.7,04-07-2023 15:00,30946.8,04-07-2023 22:00,30685.3,05-07-2023 02:00,30628.4,30650.14,30593.24
High,30946.8,04-07-2023 22:00,30685.3,05-07-2023 02:00,30756.1,05-07-2023 03:00,30494.6,30594.49,30332.99
Low,30685.3,05-07-2023 02:00,30756.1,05-07-2023 03:00,30751.5,05-07-2023 06:00,30822.3,30795.25,30866.05
High,30756.1,05-07-2023 03:00,30751.5,05-07-2023 06:00,30857.3,05-07-2023 09:00,30852.7,30854.46,30849.86
Low,30751.5,05-07-2023 06:00,30857.3,05-07-2023 09:00,30350.5,05-07-2023 17:00,30456.3,30415.88,30521.68
High,30857.3,05-07-2023 09:00,30350.5,05-07-2023 17:00,30406.2,05-07-2023 18:00,29899.4,30093.0,29586.2
Low,30350.5,05-07-2023 17:00,30406.2,05-07-2023 18:00,30345.0,05-07-2023 21:00,30400.7,30379.42,30435.12
High,30406.2,05-07-2023 18:00,30345.0,05-07-2023 21:00,30493.3,05-07-2023 23:00,30432.1,30455.48,30394.28
Low,30345.0,05-07-2023 21:00,30493.3,05-07-2023 23:00,30450.1,06-07-2023 02:00,30598.4,30541.75,30690.05
High,30493.3,05-07-2023 23:00,30450.1,06-07-2023 02:00,30488.4,06-07-2023 04:00,30445.2,30461.7,30418.5
Low,30450.1,06-07-2023 02:00,30488.4,06-07-2023 04:00,30465.7,06-07-2023 05:00,30504.0,30489.37,30527.67
High,30488.4,06-07-2023 04:00,30465.7,06-07-2023 05:00,30458.9,06-07-2023 08:00,30436.2,30444.87,30422.17
